         17817 function calls (17496 primitive calls) in 506.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:222(<setcomp>)
       90    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:552(_safe_read)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:561(__exit__)
        9    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:243(DQT)
        2    0.000    0.000    0.000    0.000 {built-in method setHorizontalHeaderLabels}
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:800(load)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      176    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/_binary.py:84(i32be)
      321    0.000    0.000    0.000    0.000 {built-in method _struct.unpack_from}
        8    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:574(__setitem__)
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:587(chunk_iTXt)
       27    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
  995/959    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       22    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       88    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:154(_crc32)
       68    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
       49    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        8    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:577(_setitem)
       70    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/genericpath.py:121(_splitext)
